num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,SP
00159222B10009115,*,000B45374071,2002300,00159221310021158,20221401  312A1  22105,26883.0,101000001800,,01
00159222B10009116,*,*,2001000,00159221310007372,20221401  312A1  22105,11425.0,101000011269,,01
00159222B10009117,*,000B45374071,2002300,00159221310023120,20221401  312A1  22105,11425.0,101000002042,,01
00159222B10009118,*,*,2001000,00159221310007373,20221401  312A1  22105,28867.0,101000011270,,01
00159222B10009119,*,000B45374071,2002300,00159221310021482,20221401  312A1  22105,28867.0,101000001825,,01
00159222B10009120,*,*,2001000,00159221310007374,20221401  312A1  22105,5522.0,101000011273,,01
00159222B10009121,*,000B45374071,2002300,00159221310021163,20221401  312A1  22105,5522.0,101000001821,,01
00159222B10009122,*,*,2001000,00159221310008520,20221401  121N1  22104,40.0,200000035468,,01
00159222B10009123,*,*,2002100,00159221310008521,20221401  121N1  22104,40.0,200000057114,,01
00159222B10009124,*,000B83037606,2003000,00159221310016234,20221401  121N1  22104,40.0,200000002955,,01
00159222B10009125,*,*,2001000,00159221310009163,20221401  121M2  22602,527.0,101000000190,,01
00159222B10009126,*,000B45420106,2002300,00159221310025414,20221401  121M2  22602,527.0,101000002297,,01
00159222B10009127,*,*,2001000,00159221310009236,20221401  312A1  22106,6.0,101000000205,,01
00159222B10009128,*,000B81620445,2002300,00159221310009598,20221401  312A1  22106,6.0,101000000302,,01
00159222B10009129,*,*,2001000,00159221310009245,20221401  121M2  22706,44.0,101000000215,,01
00159222B10009130,*,000A78085719,2002300,00159221310009889,20221401  121M2  22706,44.0,101000000398,,01
00159222B10009131,*,*,2001000,00159221310009248,20221401  121M2  230,831.0,101000000233,,01
00159222B10009131,*,*,2001000,00159221310009248,20221401  121M2  231,20.0,101000000233,,01
00159222B10009132,*,000U88042510,2002300,00159221310010178,20221401  121M2  230,831.0,101000000477,,01
00159222B10009132,*,000U88042510,2002300,00159221310010178,20221401  121M2  231,20.0,101000000477,,01
00159222B10009133,*,*,2001000,00159221310009383,20221401  121M2  22000,11570.0,101000000270,,01
00159222B10009134,*,000B76084177,2002300,00159221310018611,20221401  121M2  22000,11570.0,101000001558,,01
00159222B10009135,*,*,2001000,00159221310009387,20221401  121M2  22000,19548.0,101000000274,,01
00159222B10009136,*,000A79206223,2002300,00159221310013801,20221401  121M2  22000,19548.0,101000001115,,01
00159222B10009137,*,*,2001000,00159221310009388,20221401  121M2  22000,27418.0,101000000275,,01
00159222B10009138,*,000A79206223,2002300,00159221310013800,20221401  121M2  22000,27418.0,101000001108,,01
00159222B10009139,*,*,2001000,00159221310009398,20221401  121M2  22700,19550.0,101000000286,,01
00159222B10009140,*,000A27178789,2002300,00159221310013104,20221401  121M2  22700,19550.0,101000001019,,01
